IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.76.189.102,8443,true,HKG,Asia Pacific,Hong Kong,66 ms,256 kB/s
47.76.214.139,2053,true,HKG,Asia Pacific,Hong Kong,69 ms,249 kB/s
47.76.225.255,2096,true,HKG,Asia Pacific,Hong Kong,59 ms,243 kB/s
47.57.14.118,443,true,SJC,North America,San Jose,78 ms,220 kB/s
47.76.204.76,2053,true,HKG,Asia Pacific,Hong Kong,58 ms,208 kB/s
47.76.26.26,2096,true,HKG,Asia Pacific,Hong Kong,57 ms,201 kB/s
47.76.225.255,2083,true,HKG,Asia Pacific,Hong Kong,64 ms,192 kB/s
47.76.178.146,8443,true,HKG,Asia Pacific,Hong Kong,58 ms,182 kB/s
47.76.32.108,8443,true,HKG,Asia Pacific,Hong Kong,67 ms,99 kB/s
47.250.152.116,80,true,SIN,Asia Pacific,Singapore,158 ms,25 kB/s
47.250.176.199,80,true,SIN,Asia Pacific,Singapore,169 ms,16 kB/s
8.210.92.27,443,true,HKG,Asia Pacific,Hong Kong,61 ms,13 kB/s
47.250.157.10,80,true,SIN,Asia Pacific,Singapore,158 ms,8 kB/s
47.250.12.116,80,true,SIN,Asia Pacific,Singapore,161 ms,0 kB/s
47.236.121.23,8443,true,SIN,Asia Pacific,Singapore,299 ms,0 kB/s
47.76.32.108,2087,true,HKG,Asia Pacific,Hong Kong,86 ms,0 kB/s
47.250.40.246,80,true,SIN,Asia Pacific,Singapore,162 ms,0 kB/s
47.76.178.146,2096,true,HKG,Asia Pacific,Hong Kong,62 ms,0 kB/s
47.76.192.24,2083,true,HKG,Asia Pacific,Hong Kong,61 ms,0 kB/s
47.236.9.152,8443,true,SIN,Asia Pacific,Singapore,294 ms,0 kB/s
47.76.77.103,2087,true,HKG,Asia Pacific,Hong Kong,59 ms,0 kB/s
47.76.77.103,2096,true,HKG,Asia Pacific,Hong Kong,68 ms,0 kB/s
47.237.92.26,8443,true,SIN,Asia Pacific,Singapore,292 ms,0 kB/s
47.250.159.36,80,true,SIN,Asia Pacific,Singapore,169 ms,0 kB/s
47.76.49.246,8443,true,HKG,Asia Pacific,Hong Kong,58 ms,0 kB/s
